[2026-05-31 21:23:58.573925] DNS SPOOF DETECTED | Domain: wbd.ms. | Trusted IP: 48.222.191.176 | Received IP: 64:ff9b::30de:bfb0
[2026-05-31 21:24:04.648823] DNS SPOOF DETECTED | Domain: signalrp2-relayhub-prod-as03-2.service.signalr.net. | Trusted IP: 20.192.44.82 | Received IP: 2603:1040:a06:3::13
[2026-05-31 21:24:04.654556] DNS SPOOF DETECTED | Domain: signalrp2-relayhub-prod-as03-2.service.signalr.net. | Trusted IP: 20.192.44.82 | Received IP: 2603:1040:a06:3::13
[2026-05-31 21:24:04.803847] DNS SPOOF DETECTED | Domain: signalrp2-relayhub-prod-as01-1.service.signalr.net. | Trusted IP: 2603:1040:5:3::a | Received IP: 20.195.84.7
[2026-05-31 21:24:04.811278] DNS SPOOF DETECTED | Domain: signalrp2-relayhub-prod-as01-1.service.signalr.net. | Trusted IP: 2603:1040:5:3::a | Received IP: 20.195.84.7
[2026-05-31 21:25:23.766071] DNS SPOOF DETECTED | Domain: google.com. | Trusted IP: 142.250.183.142 | Received IP: 2404:6800:4007:810::200e
[2026-05-31 21:25:42.297188] DNS SPOOF DETECTED | Domain: youtube.com. | Trusted IP: 142.250.205.14 | Received IP: 2404:6800:4007:835::200e
[2026-05-31 21:33:30.758490] DNS SPOOF DETECTED | Domain: www.google.com. | Trusted IP: 142.251.157.119 | Received IP: 2001:4860:4826:7700::
[2026-05-31 22:29:43.978802] DNS SPOOF DETECTED | Domain: waa-pa.googleapis.com. | Trusted IP: 216.239.36.223 | Received IP: 2001:4860:4802:36::223
[2026-05-31 22:29:43.982515] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 2606:4700:9c62:7cbc:c2c6:4cd:5ff2:75c4
[2026-05-31 22:29:44.511050] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 2404:6800:4007:835::2003
[2026-05-31 22:29:45.088635] DNS SPOOF DETECTED | Domain: docs.google.com. | Trusted IP: 2404:6800:4007:837::200e | Received IP: 142.250.206.14
[2026-05-31 22:29:45.830980] DNS SPOOF DETECTED | Domain: media-blr1-1.cdn.whatsapp.net. | Trusted IP: 2a03:2880:f354:120:face:b00c:0:167 | Received IP: 57.144.169.32
[2026-05-31 22:29:46.181945] DNS SPOOF DETECTED | Domain: docs.google.com. | Trusted IP: 2404:6800:4007:837::200e | Received IP: 142.250.206.14
[2026-05-31 22:29:46.189300] DNS SPOOF DETECTED | Domain: oauthaccountmanager.googleapis.com. | Trusted IP: 2001:4860:4802:34::223 | Received IP: 216.239.38.223
[2026-05-31 22:29:46.459064] DNS SPOOF DETECTED | Domain: media-blr1-1.cdn.whatsapp.net. | Trusted IP: 2a03:2880:f354:120:face:b00c:0:167 | Received IP: 57.144.169.32
[2026-05-31 22:29:46.811410] DNS SPOOF DETECTED | Domain: drivefrontend-pa.clients6.google.com. | Trusted IP: 2404:6800:4007:80c::200a | Received IP: 142.250.67.42
[2026-05-31 22:29:47.351331] DNS SPOOF DETECTED | Domain: github.com. | Trusted IP: 64:ff9b::14cf:4952 | Received IP: 20.207.73.82
[2026-05-31 22:29:48.893440] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 2404:6800:4007:80c::200e
[2026-05-31 22:30:33.509545] DNS SPOOF DETECTED | Domain: ws.chatgpt.com. | Trusted IP: 2606:4700:9c61:d8b7:9ac6:4cb:ccf5:ac50 | Received IP: 172.64.148.235
[2026-05-31 22:30:36.017979] DNS SPOOF DETECTED | Domain: beacons.gvt2.com. | Trusted IP: 142.250.66.3 | Received IP: 2404:6800:4007:808::2003
